,event_id,Полное наименование,Сокращенное наименование,Адрес,ИНН,ОГРН,Дата собрания,Форма собрания,Дивиденды,Совет директоров
10,TcNuNuU-AxUixJHrgs-CVhEg-B-B,ИНГ БАНК (ЕВРАЗИЯ) АКЦИОНЕРНОЕ ОБЩЕСТВО,ИНГ БАНК (ЕВРАЗИЯ) АО,"Россия, 127473, Москва, ул. Краснопролетарская д.36",7712014310,1027739329375,2021-06-30,собрание,принято решение не выплачивать дивиденды,"['Малколм Браун', 'Марк Балтуссен', 'Пшемыслав Чижески']"
11,NKFwGGy5W0CTkc-AnnfgB5w-B-B,"Открытое Акционерное Общество ""Производственно-строительная фирма ""Каналсетьстрой""","ОАО ""ПСФ ""Каналсетьстрой""","Российская Федерация, 109382, г. Москва, ул. Нижние поля, д.27",7723002683,1027700423376,2021-06-30,собрание,вопрос не поднимался,"['Калькаев Владимир Михайлович', 'Тириакиди Алексей Анатольевич', 'Хайретдинов Али Абдулбярович', 'Степанова Валентина Михайловна', 'Стрельченко Марина Гаяровна', 'Тириакиди Марина Владимировна', 'Жихорева Елена Сергеевна']"
12,nndFUZRbak-CiYoQEBFdipQ-B-B,Публичное акционерное общество «Российские сети»,ПАО «Россети»,"Россия, г. Москва",7728662669,1087760000019,2021-06-30,заочное голосование,принято решение выплатить дивиденды,"['Новак Александр Валентинович', 'Шульгинов Николай Григорьевич', 'Файзуллин Ирек Энварович', 'Рюмин Андрей Валерьевич', 'Сниккарс Павел Николаевич', 'Быстров Максим Сергеевич', 'Дмитриев Кирилл Александрович', 'Опадчий Федор Юрьевич', 'Калинин Александр Сергеевич', 'Аширов Станислав Олегович', 'Шаронов Андрей Владимирович', 'Рогалев Николай Дмитриевич', 'Шматко Сергей Иванович', 'Дубнов Олег Маркович', 'Муров Андрей Евгеньевич']"
13,GtuiF2VmAEOrYif1o-CQfrA-B-B,"Акционерное общество ""Моспромжелезобетон""","АО ""Моспромжелезобетон""","107143,  г. Москва, ул.Николая Химушина,  2/7",7718013513,1037739474882,2021-06-29,собрание,принято решение не выплачивать дивиденды,"['Назаров Денис Юрьевич', 'Поляничко Михаил Игоревич', 'Захаров Владимир Валерьевич', 'Пригожина Татьяна Сергеевна', 'Юрьев Илья Борисович']"
14,qLBfD6xDVUWq-C0uBlJEeIQ-B-B,Общество с ограниченной ответственностью «РВК-Инвест»,ООО «РВК-Инвест»,г. Москва,7705701907,1057749239580,2021-06-29,собрание,вопрос не поднимался,[]
15,yO6Gtaxq-AkOhtOzOWtt7yw-B-B,"Акционерное общество ""Научно-производственное предприятие ""Радий""","АО ""НПП ""Радий""","125057, г. Москва, ул. Часовая, д. 28",7712001254,1027700133141,2021-06-29,заочное голосование,принято решение не выплачивать дивиденды,"['Конов Магомет Абубекирович', 'Бавижев Михаил Данильевич', 'Безганс Владимир Эдуардович', 'Докумов Константин Хусинович', 'Лярская Тамара Александровна', 'Струнин Виталий Геннадиевич', 'Хамизов Руслан Хажсетович']"
16,-Ant5lUXJIEiLsW8YkC4CDw-B-B,Публичное акционерное Общество «Наука-Связь»,ПАО «Наука-Связь»,"Российская Федерация, г.Москва",7714716995,1077761976852,2021-06-30,заочное голосование,принято решение не выплачивать дивиденды,"['Калинин Алексей Александрович', 'Котельников Константин Юрьевич', 'Лаунер Геннадий Альфредович', 'Семейко Алексей Львович', 'Ященко Александр Вячеславович']"
17,0-Cpt8cqa4k6zvPYzCtuSNg-B-B,Акционерное общество «ГИДРОМАШСЕРВИС»,АО «ГИДРОМАШСЕРВИС»,"109129, г. Москва, ул. 8-я Текстильщиков, д.11, помещение I, комната 34, офис 527",7733015025,1027739083580,2021-06-30,собрание,принято решение не выплачивать дивиденды,"['Молчанов Кирилл Владимирович', 'Хромов Василий Владимирович', 'Скрынник Юрий Николаевич', 'Мелешкин Алексей Валерьевич', 'Ямбуренко Николай Николаевич']"
18,wGRrXFjSiEy8ZuAxS2wNNw-B-B,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""","АО ""АЛЬФА-БАНК""","107078, г. Москва, ул. Каланчевская, 27",7728168971,1027700067328,2021-06-30,собрание,вопрос не поднимался,"['Авен Петр Олегович', 'Атнашев Марат Михайлович', 'Бакстер Эндрю Джон', 'Верхошинский Владимир Вячеславович', 'Галицкий Александр Владимирович', 'Каримов Ильдар Альфредович', 'Косогов Андрей Николаевич', 'Марей Алексей Александрович', 'Мацоцкий Сергей Савельевич', 'Сысуев Олег Николаевич', 'Торбахов Александр Юрьевич', 'Фридман Михаил Маратович', 'Хартманн Оскар']"
19,7fy4g9yKrUSYRZlcfUC1-AA-B-B,"Акционерное общество ""ГК Полипласт""","АО ""ГК Полипласт""","107023, г.Москва, ул.Малая Семеновская, д.11А, стр.17 офис 6",7718814016,1107746578060,2021-06-30,собрание,вопрос не поднимался,
